City_ID,City_ID,Country,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,128,TL,Airai,-8.9266,125.4092,60.49,88,72,2.15,overcast clouds
129,129,HK,Victoria,22.2855,114.1577,60.94,94,100,4.0,broken clouds
130,130,RU,Cherskiy,68.75,161.3,-8.55,64,36,2.01,scattered clouds
131,131,MX,Cananea,30.95,-110.3,48.74,43,79,14.14,broken clouds
132,132,BB,Oistins,13.0667,-59.5333,84.29,65,40,16.11,few clouds
133,133,BR,Pilar,-9.5972,-35.9567,89.53,45,24,14.25,light rain
134,134,RE,Saint-Pierre,-21.3393,55.4781,80.28,89,100,39.12,overcast clouds
135,135,IN,Kollam,8.8833,76.6,84.07,80,3,2.71,broken clouds
136,136,SB,Auki,-8.7676,160.7034,78.35,86,100,6.15,clear sky
137,137,ID,Gorontalo,0.5412,123.0595,73.56,88,100,3.53,light rain
138,138,BR,Santa Isabel,-23.3156,-46.2214,80.37,83,98,2.28,broken clouds
139,139,CA,Stephenville Crossing,48.5,-58.4318,25.21,58,75,9.22,clear sky
140,140,US,Ewa Beach,21.3156,-158.0072,73.69,82,0,4.0,few clouds
141,141,MX,Cabo San Lucas,22.8909,-109.9124,76.6,40,75,12.66,few clouds
142,142,RU,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,100,75,2.24,scattered clouds
143,143,QA,Doha,25.2867,51.5333,64.38,59,0,12.66,light rain
144,144,US,Iberia,29.9502,-91.7507,70.05,94,100,6.91,few clouds
145,145,US,San Patricio,28.017,-97.5169,77.09,71,82,12.75,broken clouds
146,146,BF,Ouargaye,11.5033,0.0572,87.96,4,45,9.31,light rain
147,147,CA,Havre-Saint-Pierre,50.2334,-63.5986,24.8,74,100,17.27,few clouds
148,148,PT,Lagoa,39.05,-27.9833,58.5,72,1,12.84,scattered clouds
149,149,MU,Cap Malheureux,-19.9842,57.6142,81.46,78,100,18.01,scattered clouds
150,150,SA,Sakakah,29.9697,40.2064,58.57,33,26,12.44,scattered clouds
151,151,NE,Filingue,14.3521,3.3168,82.94,7,2,8.05,scattered clouds
152,152,ZA,Springbok,-29.6643,17.8865,67.98,69,22,14.5,scattered clouds
153,153,IR,Tonekabon,36.8163,50.8738,46.35,55,0,4.74,few clouds
154,154,RU,Berdigestyakh,62.0989,126.6992,-14.1,97,100,5.17,broken clouds
155,155,ES,Cabra,37.4725,-4.4421,71.04,40,0,3.09,scattered clouds
156,156,IN,Bilimora,20.7672,72.9693,67.91,61,8,6.06,light rain
157,157,VG,Road Town,18.4167,-64.6167,82.44,69,40,10.36,broken clouds
158,158,RU,Salym,60.0625,71.4789,22.24,94,100,11.25,overcast clouds
159,159,NC,Poya,-21.35,165.15,74.73,86,68,2.55,overcast clouds
160,160,NC,Poum,-20.2333,164.0167,79.29,76,1,12.24,clear sky
161,161,US,Hamilton,39.1834,-84.5333,44.98,93,100,3.0,light rain
162,162,RE,Saint-Joseph,-21.3667,55.6167,79.18,90,100,31.23,few clouds
163,163,CA,Pangnirtung,66.1451,-65.7125,5.0,72,100,17.27,scattered clouds
164,164,AU,Flinders,-34.5833,150.8552,64.18,78,100,15.99,overcast clouds
165,165,CG,Djambala,-2.5447,14.7533,72.63,81,76,4.29,broken clouds
166,166,US,Bethel,41.3712,-73.414,44.55,84,100,5.75,scattered clouds
167,167,NP,Jumla,29.2747,82.1838,38.12,93,93,2.06,clear sky
168,168,RU,Dzhebariki-Khaya,62.2167,135.8,-39.17,100,59,0.85,few clouds
169,169,FR,Gien,47.6933,2.6309,47.43,81,97,6.22,broken clouds
170,170,PY,Pozo Colorado,-23.4923,-58.7972,103.23,23,20,7.11,light rain
171,171,CA,Thompson,55.7435,-97.8558,-20.04,63,0,10.36,broken clouds
172,172,CL,Coquimbo,-29.9533,-71.3436,69.53,64,0,13.8,clear sky
173,173,RU,Baykit,61.67,96.37,-0.47,100,100,0.96,few clouds
174,174,RU,Yertsevo,60.7966,40.086,12.9,99,98,2.98,scattered clouds
175,175,MU,Souillac,-20.5167,57.5167,81.36,94,75,34.52,scattered clouds
176,176,IN,Kota,25.1833,75.8333,68.7,37,0,8.97,overcast clouds
177,177,IN,Mamallapuram,12.6264,80.1722,79.05,64,5,8.63,few clouds
178,178,RU,Chumikan,54.7183,135.315,-10.1,86,39,12.46,clear sky
179,179,US,Half Moon Bay,37.4636,-122.4286,57.18,36,0,5.99,few clouds
180,180,RU,Chekhov,55.1431,37.4711,24.75,98,99,5.03,light rain
181,181,BR,Caravelas,-17.7125,-39.2481,83.66,64,84,8.25,overcast clouds
182,182,CD,Kisangani,0.5167,25.2,77.32,61,100,2.35,clear sky
183,183,NZ,Waipawa,-41.4122,175.5153,66.83,72,99,11.92,broken clouds
184,184,UA,Sarny,51.338,26.6019,33.4,98,100,10.33,scattered clouds
185,185,ZA,Port Alfred,-33.5906,26.891,79.32,79,95,8.59,overcast clouds
186,186,CN,Dali,25.7,100.1833,37.45,88,19,4.81,light rain
187,187,,Luderitz,-26.6481,15.1594,68.07,79,13,6.02,few clouds
188,188,CN,Jiazi,22.8779,116.067,58.01,90,100,13.87,broken clouds
189,189,CV,Vila Do Maio,15.1333,-23.2167,81.39,81,4,20.29,broken clouds
190,190,PL,Brzesko,49.9691,20.6061,36.84,93,100,4.0,clear sky
191,191,GT,Barillas,15.8036,-91.3158,77.34,43,0,4.52,broken clouds
