City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,100,75,2.24,RU,2022-02-02 17:24:13
143,Doha,25.2867,51.5333,64.38,59,0,12.66,QA,2022-02-02 17:22:49
144,Iberia,29.9502,-91.7507,70.05,94,100,6.91,US,2022-02-02 17:26:58
145,San Patricio,28.017,-97.5169,77.09,71,82,12.75,US,2022-02-02 17:25:21
146,Ouargaye,11.5033,0.0572,87.96,4,45,9.31,BF,2022-02-02 17:26:59
147,Havre-Saint-Pierre,50.2334,-63.5986,24.8,74,100,17.27,CA,2022-02-02 17:26:59
148,Lagoa,39.05,-27.9833,58.5,72,1,12.84,PT,2022-02-02 17:27:00
149,Cap Malheureux,-19.9842,57.6142,81.46,78,100,18.01,MU,2022-02-02 17:27:00
150,Sakakah,29.9697,40.2064,58.57,33,26,12.44,SA,2022-02-02 17:27:01
151,Filingue,14.3521,3.3168,82.94,7,2,8.05,NE,2022-02-02 17:27:01
152,Springbok,-29.6643,17.8865,67.98,69,22,14.5,ZA,2022-02-02 17:27:02
153,Tonekabon,36.8163,50.8738,46.35,55,0,4.74,IR,2022-02-02 17:27:02
154,Berdigestyakh,62.0989,126.6992,-14.1,97,100,5.17,RU,2022-02-02 17:27:03
155,Cabra,37.4725,-4.4421,71.04,40,0,3.09,ES,2022-02-02 17:27:03
156,Bilimora,20.7672,72.9693,67.91,61,8,6.06,IN,2022-02-02 17:27:04
157,Road Town,18.4167,-64.6167,82.44,69,40,10.36,VG,2022-02-02 17:23:26
158,Salym,60.0625,71.4789,22.24,94,100,11.25,RU,2022-02-02 17:27:05
159,Poya,-21.35,165.15,74.73,86,68,2.55,NC,2022-02-02 17:27:05
160,Poum,-20.2333,164.0167,79.29,76,1,12.24,NC,2022-02-02 17:27:06
161,Hamilton,39.1834,-84.5333,44.98,93,100,3.0,US,2022-02-02 17:23:31
162,Saint-Joseph,-21.3667,55.6167,79.18,90,100,31.23,RE,2022-02-02 17:22:34
163,Pangnirtung,66.1451,-65.7125,5.0,72,100,17.27,CA,2022-02-02 17:27:07
164,Flinders,-34.5833,150.8552,64.18,78,100,15.99,AU,2022-02-02 17:27:07
165,Djambala,-2.5447,14.7533,72.63,81,76,4.29,CG,2022-02-02 17:27:08
166,Bethel,41.3712,-73.414,44.55,84,100,5.75,US,2022-02-02 17:27:08
167,Jumla,29.2747,82.1838,38.12,93,93,2.06,NP,2022-02-02 17:26:00
168,Dzhebariki-Khaya,62.2167,135.8,-39.17,100,59,0.85,RU,2022-02-02 17:27:09
169,Gien,47.6933,2.6309,47.43,81,97,6.22,FR,2022-02-02 17:27:09
170,Pozo Colorado,-23.4923,-58.7972,103.23,23,20,7.11,PY,2022-02-02 17:27:10
171,Thompson,55.7435,-97.8558,-20.04,63,0,10.36,CA,2022-02-02 17:25:05
172,Coquimbo,-29.9533,-71.3436,69.53,64,0,13.8,CL,2022-02-02 17:27:11
173,Baykit,61.67,96.37,-0.47,100,100,0.96,RU,2022-02-02 17:22:26
