City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Doha,QA,64.38,light rain,25.2867,51.5333,Movenpick Hotel Doha
144,Iberia,US,70.05,few clouds,29.9502,-91.7507,back to back rv park
145,San Patricio,US,77.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Ouargaye,BF,87.96,light rain,11.5033,0.0572,Résidence le Cotonnier
147,Havre-Saint-Pierre,CA,24.8,few clouds,50.2334,-63.5986,Auberge Niapiskau
148,Lagoa,PT,58.5,scattered clouds,39.05,-27.9833,Casa Das Faias
149,Cap Malheureux,MU,81.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
150,Sakakah,SA,58.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
152,Springbok,ZA,67.98,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
153,Tonekabon,IR,46.35,few clouds,36.8163,50.8738,Hotel Sadra
155,Cabra,ES,71.04,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
156,Bilimora,IN,67.91,light rain,20.7672,72.9693,Hotel Amardeep Inn Guest House
157,Road Town,VG,82.44,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
158,Salym,RU,22.24,overcast clouds,60.0625,71.4789,Gostinitsa Salym
161,Hamilton,US,44.98,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
162,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
163,Pangnirtung,CA,5.0,scattered clouds,66.1451,-65.7125,Kilabuk Lodge
164,Flinders,AU,64.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
165,Djambala,CG,72.63,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
166,Bethel,US,44.55,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
167,Jumla,NP,38.12,clear sky,29.2747,82.1838,Royal Garden Hotel
169,Gien,FR,47.43,broken clouds,47.6933,2.6309,Hôtel la Poularde
170,Pozo Colorado,PY,103.23,light rain,-23.4923,-58.7972,Hospedaje la Amistad
172,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hostel Del Puerto
174,Yertsevo,RU,12.9,scattered clouds,60.7966,40.086,Дом
175,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
176,Kota,IN,68.7,overcast clouds,25.1833,75.8333,Capital O 84094 Hotel Tanishq
177,Mamallapuram,IN,79.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
179,Half Moon Bay,US,57.18,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
180,Chekhov,RU,24.75,light rain,55.1431,37.4711,Domik v derevne
181,Caravelas,BR,83.66,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
182,Kisangani,CD,77.32,clear sky,0.5167,25.2,Grand Ramela Hotel
183,Waipawa,NZ,66.83,broken clouds,-41.4122,175.5153,Tora Coastal Walk
184,Sarny,UA,33.4,scattered clouds,51.338,26.6019,Luxury Square
185,Port Alfred,ZA,79.32,overcast clouds,-33.5906,26.891,The Halyards Hotel
186,Dali,CN,37.45,light rain,25.7,100.1833,Dali Travelling With Hostel
188,Jiazi,CN,58.01,broken clouds,22.8779,116.067,Hotel Jin Hao
189,Vila Do Maio,CV,81.39,broken clouds,15.1333,-23.2167,Hotel Marilu
190,Brzesko,PL,36.84,clear sky,49.9691,20.6061,Hotel Planeta
